column,best_k,mae,rmse,r2,mape,metrics_agree,k_by_mae,k_by_rmse,k_by_r2,n_k_values_tested
E20,3,0.0213176302694836,0.0542909931158428,0.99828677573776,2.855535343811091,True,3,3,3,6
M14,3,0.0045503338724875,0.0079780112659405,0.998210934662508,0.5210216294181836,True,3,3,3,6
E1,5,0.0166829569529297,0.0507607085950462,0.9937340459884444,1.084613599412934,False,3,5,5,6
M13,5,0.0336604251236236,0.0589704461064939,0.9919176284062228,20.549444079500592,False,3,5,5,6
E7,3,0.12407525903579,0.308301570026726,0.9867354725368191,77.85163436744217,True,3,3,3,6
V10,5,0.1100094252088323,0.1609071052561245,0.9800264002952928,126.22133578455464,False,3,5,5,6
S8,3,0.1261642886270499,0.1853447725935222,0.9723455665315964,69.37353930178833,True,3,3,3,6
V9,3,0.1023192171874462,0.1970463344204858,0.9716439886197288,32.06215838630541,True,3,3,3,6
M1,3,0.1352166758042332,0.1877652853946436,0.9647219237636928,55.96753068160493,True,3,3,3,6
V7,3,0.1513483300381531,0.2667920200489999,0.9559008965696522,54.74890916054756,True,3,3,3,6
M5,3,0.1720437507166006,0.3336325695098527,0.9499329460828512,47.15937927419746,True,3,3,3,6
S3,3,0.1980243690882789,0.2932235177293191,0.914527619943694,42.94091816617139,True,3,3,3,6
M6,5,0.2770888153551307,0.4414412835992621,0.9075760501623882,153.77245578810627,True,5,5,5,6
V13,5,0.2299790640792122,0.45449351659594,0.8536210908868911,206.20727153366093,False,3,5,5,6
V5,3,0.3530325492553642,0.5042734823800354,0.8072557406854397,128.10541410585503,True,3,3,3,6
P6,3,0.2579623833890096,0.6407388709999333,0.7171478880172055,111.85668515989492,True,3,3,3,6
S5,3,0.3572689564783563,0.5951570434713093,0.7013505093887566,175.6339169864105,True,3,3,3,6
P5,3,0.400681981499907,0.5946277021743431,0.6624556320743309,217.48974503606257,True,3,3,3,6
M3,10,0.5729454803222922,0.8574549602351262,0.5701435672625979,404.8460639963193,True,10,10,10,6
S12,10,0.5720783393674856,0.7522534585554818,0.3486161049221224,278.4238869420376,False,25,10,10,6
P7,20,0.8161227046481421,1.0028559109316544,0.1861329330274839,283.8707744474402,False,15,20,20,6
M2,20,0.801952031345672,0.9870374221297972,0.1835413453059079,130.36859468504454,False,15,20,20,6
